hour,norm,solar,wind
0,0.684027107346802,0,0.5156143
1,0.639215390071145,0,0.4998666
2,0.609928482031206,0,0.5051158
3,0.597546850205049,0,0.5474277
4,0.595463854623856,0,0.5991246
5,0.609763310575429,0,0.6239391
6,0.668943086324844,0,0.6508215
7,0.770990641748431,0,0.6322106
8,0.837508858777675,0.032737,0.7315148
9,0.865950682139301,0.327384,0.926008
10,0.876460811257197,0.5728847,0.926008
11,0.874208819059053,0.8041885,0.9112096
12,0.866820564165576,0.9636391,0.9196659
13,0.86226119817343,1,0.954558
14,0.835613646100201,0.9624854,0.9734665
15,0.818801552149729,0.8425039,0.9889371
16,0.808960523422995,0.6385488,0.9196659
17,0.805599087009797,0.3866826,0.9577189
18,0.820608933594708,0.0259915,0.9809735
19,0.868997725173503,0,1
20,0.899106667297482,0,0.9196659
21,0.883175270826425,0,0.8625863
22,0.819792363277555,0,0.8181911
23,0.744874872941366,0,0.8012787
