hour,norm,solar,wind,dismant,stor
0,0.684027107346802,0,0.5156143,0,-0.51399931388557
1,0.639215390071145,0,0.4998666,0,-0.759908589712027
2,0.609928482031206,0,0.5051158,0,-0.92062375050346
3,0.597546850205049,0,0.5474277,0,-0.988569330388078
4,0.595463854623856,0,0.5991246,0,-1
5,0.609763310575429,0,0.6239391,0.030140480996093,-0.921530147212773
6,0.668943086324844,0,0.6508215,0.092028935308071,-0.596774554638857
7,0.770990641748431,0,0.6322106,0.102959883082655,-0.036777259741467
8,0.837508858777675,0.032737,0.7315148,0.242717517879996,0.328248844442547
9,0.865950682139301,0.327384,0.926008,0.528410198798387,0.484326509197448
10,0.876460811257197,0.5728847,0.926008,0.661753892918996,0.542002010101056
11,0.874208819059053,0.8041885,0.9112096,0.631920939648911,0.529643952783016
12,0.866820564165576,0.9636391,0.9196659,0.538877665736558,0.489100083435183
13,0.86226119817343,1,0.954558,0.485155009892837,0.464080056140548
14,0.835613646100201,0.9624854,0.9734665,0.227580718788919,0.317848654371992
15,0.818801552149729,0.8425039,0.9889371,0.114639958919057,0.225590421484926
16,0.808960523422995,0.6385488,0.9196659,0.066322649838808,0.17158668329538
17,0.805599087009797,0.3866826,0.9577189,0.052829247099929,0.153140427620301
18,0.820608933594708,0.0259915,0.9809735,0.124941971603955,0.235508627911674
19,0.868997725173503,0,1,0.645900520552909,0.501047496285343
20,0.899106667297482,0,0.9196659,1,0.666273660416986
21,0.883175270826425,0,0.8625863,0.754786830400189,0.578848352768042
22,0.819792363277555,0,0.8181911,0.120232664596587,0.231027607599123
23,0.744874872941366,0,0.8012787,0.064299692791666,-0.18009044177132


