x,l1,l2,l3,l4,l5
1,26.423,19.999,9.388,30.774,63.562
2,24.385,18.464,8.850,28.312,59.190
3,23.089,17.491,8.517,26.761,56.451
4,22.549,17.087,8.381,26.117,55.319
5,22.458,17.019,8.358,26.009,55.130
6,23.082,17.486,8.515,26.752,56.435
7,25.729,19.475,9.203,29.932,62.065
8,30.615,23.176,10.549,35.928,72.752
9,34.100,25.846,11.559,40.331,80.765
10,35.690,27.073,12.031,42.383,84.443
11,36.296,27.542,12.213,43.173,85.847
12,36.166,27.441,12.174,43.002,85.544
13,35.740,27.111,12.046,42.448,84.558
14,35.480,26.910,11.969,42.110,83.956
15,33.997,25.766,11.528,40.198,80.526
16,33.090,25.069,11.262,39.042,78.435
17,32.569,24.669,11.110,38.381,77.234
18,32.392,24.534,11.059,38.158,76.828
19,33.187,25.143,11.290,39.165,78.657
20,35.865,27.208,12.084,42.610,84.847
21,37.641,28.588,12.620,44.945,88.969
22,36.689,27.847,12.332,43.688,86.759
23,33.143,25.110,11.278,39.109,78.557
24,29.319,22.190,10.183,34.319,69.877
